SystemCode;Sum;EDNo;EDDate;EDAuthor;Priority;TransKind;AccDocDate;AccDocNo;PayerName;PayerBIC;PayerCorrespAcc;PayeeName;PayeeBIC;PayeeCorrespAcc;Purpose
02;12;1;2022-12-18;4583001999;1;01;2010-06-08;52;УФК по Астраханской области;041280103;40116810100000010010;КУ "НАЦКОРПБАНК" (АО) - ГК "АСВ";044525653;30101810945250000653;Назначение платежа? Например, порядковый номер ED101 = 1
02;45;2;2022-12-18;4583001999;1;01;2014-05-29;90;КУ ОАО АКБ "РУССКИЙ ЗЕМЕЛЬНЫЙ БАНК" -ГК "АСВ";044525684;30101810545250000684;КУ ООО КБ "ПЕРВЫЙ ДЕПОЗИТНЫЙ" - ГК "АСВ";044525737;30101810845250000737;Назначение платежа? Например, порядковый номер ED101 = 2
02;65;3;2022-12-18;4583001999;1;01;2005-03-03;30;УРАЛЬСКИЙ ФИЛИАЛ АО "РАЙФФАЙЗЕНБАНК";046577906;30101810100000000906;ФИЛИАЛ "БАНКА ЗАРЕЧЬЕ" (АО) В Г. ОРЛЕ;045402704;30101810100000000704;Назначение платежа? Например, порядковый номер ED101 = 3
02;78;4;2022-12-18;4583001999;1;01;1994-01-20;20;ИКБР "ЯРИНТЕРБАНК" (ООО);047888728;30101810300000000728;ИКМО;278000688;40202810645250000169;Назначение платежа? Например, порядковый номер ED101 = 4
02;41;5;2022-12-18;4583001999;1;01;2003-10-23;30;ПРИОЗЕРСКИЙ Ф-Л ПАО "БАНК "САНКТ-ПЕТЕРБУРГ";044106817;30101810600000000817;ФИЛИАЛ "ЧЕЛЯБИНСКИЙ" АО "ОТП БАНК";047501830;30101810200000000830;Назначение платежа? Например, порядковый номер ED101 = 5
02;00;6;2022-12-18;4583001999;1;01;2015-02-24;30;БАЙКОНУРСКИЙ ФИЛИАЛ АБ "РОССИЯ";040037471;30101810000370000471;АНО "СОДФУ";200000412;40503810745250000030;Назначение платежа? Например, порядковый номер ED101 = 6
02;03;7;2022-12-18;4583001999;1;01;2011-01-11;52;Отдел N 14 УФК по Краснодарскому краю;048952630;40116810903960010002;КУ ООО КБ "ИНТЕРКАПИТАЛ-БАНК";000396186;30101810800000000630;Назначение платежа? Например, порядковый номер ED101 = 7
02;15;8;2022-12-18;4583001999;1;01;1995-08-11;99;Избирательная комиссия Брянской области;215000042;40202810600000000552;Избирательная комиссия Ленинградской области;241000086;40301810500000000053;Назначение платежа? Например, порядковый номер ED101 = 8
02;58;9;2022-12-18;4583001999;1;01;2000-01-01;99;Избирательная комиссия Псковской области;258000013;40301810700000000102;Центризбирком РК;286000017;40202810200000000182;Назначение платежа? Например, порядковый номер ED101 = 9
02;96;10;2022-12-18;4583001999;1;01;2011-06-29;52;УФК по Чеченской Республике;049626100;40116810096260010001;УФК по Нижегородской области;042299100;40116810000000010002;Назначение платежа? Например, порядковый номер ED101 = 10
02;11;11;2022-12-18;4583001999;1;01;2011-03-09;52;УФК по Архангельской области и Ненецкому автономному округу;041122101;40116810300000010001;УФК по Астраханской области;041236100;40116810600000010012;Назначение платежа? Например, порядковый номер ED101 = 11
02;05;12;2022-12-18;4583001999;1;01;1995-06-27;99;Избирательная комиссия Приморского края;205000024;40202810900000001062;избирательная комиссия Нижегородской области;222000300;40202810600000000119;Назначение платежа? Например, порядковый номер ED101 = 12
